Id,Release_Date,Title,Vote_Average,Original_Language,Genre
82,2020-08-04,Deathstroke: Knights & Dragons - The Movie,6.9,en,"Animation, Action, Adventure, Science Fiction"
83,2021-10-13,The Last Duel,7.6,en,"Action, Drama, History"
84,2022-01-26,The Pirates: The Last Royal Treasure,6.6,ko,"Action, Adventure, Comedy, History"
85,2021-10-29,Paranormal Activity: Next of Kin,6.5,en,"Horror, Mystery, Thriller"
86,2021-11-24,House of Gucci,6.8,en,"Drama, Crime, Thriller"
87,2021-02-11,Dark Spell,6.7,ru,"Romance, Horror, Thriller"
88,2021-07-28,Jungle Cruise,7.6,en,"Action, Adventure, Comedy, Fantasy"
89,2021-03-24,Godzilla vs. Kong,7.8,en,"Action, Fantasy, Science Fiction"
90,2012-06-23,The Amazing Spider-Man,6.7,en,"Action, Adventure, Fantasy"
91,2022-02-17,Heart Shot,5.6,en,"Romance, Crime"
92,2009-12-10,Avatar,7.5,en,"Action, Adventure, Fantasy, Science Fiction"
93,2021-06-11,Mobile Suit Gundam Hathaway,7.8,ja,"Animation, Action, Drama, Science Fiction"
94,2021-10-27,Army of Thieves,6.9,en,"Crime, Comedy"
95,2022-02-23,UFO,5.2,tr,"Drama, Romance"
96,2022-03-03,The Weekend Away,5.9,en,"Thriller, Mystery"
97,2020-11-25,The Croods: A New Age,7.6,en,"Animation, Family, Adventure, Fantasy, Comedy"
98,2021-12-03,Back to the Outback,7.7,en,"Animation, Family, Adventure, Comedy"
99,2021-07-02,The Tomorrow War,8,en,"Action, Science Fiction, Adventure"
100,2022-01-28,Home Team,6.9,en,"Family, Comedy"
101,2021-03-17,The Fallout,7.4,en,Drama
102,2021-03-03,Raya and the Last Dragon,8,en,"Family, Fantasy, Animation, Action, Adventure"
103,2021-09-09,Infinite,6.8,en,"Science Fiction, Action, Thriller"
104,2021-04-22,Wrath of Man,7.7,en,"Action, Crime, Thriller"
105,2021-12-17,Fortress,6.2,en,"Crime, Action, Thriller"
106,2021-07-08,Space Jam: A New Legacy,7.1,en,"Family, Animation, Comedy, Science Fiction"
107,2022-01-13,Laura y el misterio del asesino inesperado,7.3,es,"TV Movie, Mystery, Thriller, Comedy"
108,2021-05-25,The Conjuring: The Devil Made Me Do It,7.7,en,"Horror, Mystery, Thriller"
109,2005-06-10,Batman Begins,7.7,en,"Action, Crime, Drama"
110,2022-01-20,The Royal Treatment,6.8,en,"Romance, Comedy"
111,2021-11-12,Ciao Alberto,7.5,en,"Animation, Comedy, Family, Fantasy"
112,2021-06-05,Gone Mom: The Disappearance of Jennifer Dulos,7.8,en,"TV Movie, Thriller, Crime"
113,2021-06-28,Ripper Untold,6.6,en,Horror
114,2021-05-26,Meander,6.1,fr,"Horror, Science Fiction, Drama, Thriller"
115,2021-11-18,Zeros and Ones,5.3,en,"Thriller, War"
116,2021-07-22,Snake Eyes: G.I. Joe Origins,6.8,en,"Action, Adventure"
117,2021-10-08,Survive the Game,5.8,en,"Action, Thriller, Crime"
118,2021-05-28,Riverdance: The Animated Adventure,5.2,en,"Animation, Fantasy, Music, Adventure, Comedy, Family"
119,2021-11-12,Apex,5.4,en,"Action, Thriller, Science Fiction"
120,2022-02-02,The Tinder Swindler,7.1,en,"Documentary, Crime"
121,2022-02-11,Love Tactics,6.7,tr,"Romance, Comedy"
122,2021-10-01,The Addams Family 2,7.2,en,"Animation, Adventure, Comedy, Family"
123,2021-04-27,Dynasty Warriors,6.5,cn,"Action, Adventure, Fantasy"
124,2021-05-15,Miraculous World: Shanghai – The Legend of Ladydragon,7.9,fr,"Animation, Comedy, Family, Adventure"
125,2020-11-21,"Miraculous World: New York, United HeroeZ",8.3,fr,"Animation, Family, Comedy, Adventure, TV Movie"
126,2022-03-03,Surviving Paradise: A Family Tale,6.9,en,Documentary
127,2019-12-20,My Hero Academia: Heroes Rising,8.4,ja,"Animation, Action, Fantasy, Adventure"
128,2021-11-04,Amina,6.5,en,"War, History, Drama"
