Id,Release_Date,Title,Vote_Average,Original_Language,Genre
1127,2021-05-27,The Marco Effect,6.3,da,"Thriller, Crime"
1128,2010-12-08,The Tourist,6.2,en,"Action, Thriller, Romance"
1129,2021-09-22,Intrusion,6.1,en,Thriller
1130,1991-07-03,Terminator 2: Judgment Day,8.1,en,"Action, Thriller, Science Fiction"
1131,1999-08-06,The Iron Giant,7.9,en,"Family, Animation, Adventure, Science Fiction, Comedy"
1132,2000-03-17,Final Destination,6.5,en,Horror
1133,2016-07-11,Sausage Party,5.7,en,"Animation, Adventure, Comedy, Fantasy"
1134,2021-01-29,Finding 'Ohana,6.5,en,"Action, Adventure, Comedy, Family"
1135,2019-09-10,Corpus Christi,7.8,pl,Drama
1136,2021-07-09,Benedetta,6.8,fr,"Drama, History, Romance"
1137,2012-08-09,The Dinosaur Project,5.4,en,"Adventure, Action"
1138,2014-05-13,Son of Batman,7.1,en,"Animation, Action, Adventure"
1139,2009-02-05,Confessions of a Shopaholic,6.4,en,"Comedy, Romance"
1140,1997-12-20,Life Is Beautiful,8.5,it,"Comedy, Drama"
1141,2017-02-25,Infidelity in Suburbia,6.2,en,"Thriller, TV Movie"
1142,2020-01-30,La Casa,6.4,es,Horror
1143,2020-10-16,Over the Moon,7.4,en,"Animation, Adventure, Family, Fantasy"
1144,2012-11-21,Rise of the Guardians,7.4,en,"Family, Animation, Fantasy, Action, Adventure"
1145,2009-09-18,Jennifer's Body,5.8,en,"Comedy, Horror"
1146,2012-12-15,One Piece Film: Z,7.5,ja,"Action, Adventure, Animation"
1147,2013-08-21,The Mortal Instruments: City of Bones,6.4,en,"Fantasy, Action, Mystery"
1148,2021-09-22,We Are Nothing,3.5,es,"Documentary, Music"
1149,2021-06-24,Undercover Wedding Crashers,5.8,es,Comedy
1150,2006-09-01,Idiocracy,6.3,en,"Adventure, Comedy, Science Fiction"
1151,2016-07-16,Pokémon the Movie: Volcanion and the Mechanical Marvel,6.6,ja,"Family, Adventure, Animation, Fantasy, Science Fiction"
1152,1955-06-22,Lady and the Tramp,7.1,en,"Family, Animation, Romance"
1153,2018-03-23,"Paul, Apostle of Christ",7.4,en,"Drama, History"
1154,2013-12-25,Nymphomaniac: Vol. II,6.8,en,"Drama, Mystery"
1155,2011-12-07,Hotel Desire,5.9,de,"Drama, Romance"
1156,2008-01-30,CJ7,7.2,cn,"Comedy, Drama, Family, Fantasy, Science Fiction"
1157,2021-04-03,Rise of the Mummy,5.3,en,"Horror, Science Fiction"
1158,2023-03-17,Aquaman and The Lost Kingdom,0,en,"Adventure, Action, Fantasy"
1159,2008-10-03,Beverly Hills Chihuahua,5.3,en,"Comedy, Family, Adventure, Romance"
1160,2003-10-24,Scary Movie 3,6,en,Comedy
1161,1970-12-24,The Aristocats,7.3,en,"Animation, Comedy, Family, Adventure"
1162,1967-01-01,Soy leyenda,6.2,es,"Drama, Horror, Science Fiction"
1163,2020-10-06,American Pie Presents: Girls' Rules,6.4,en,Comedy
1164,2001-03-18,Spy Kids,5.8,en,"Action, Comedy, Family, Adventure"
1165,2022-01-06,Cyrano,6.3,en,"Drama, Romance"
1166,2006-04-11,Undisputed II: Last Man Standing,7.3,en,"Action, Crime, Thriller"
1167,2021-07-16,Belle,8.4,ja,"Animation, Drama, Science Fiction, Music"
1168,2016-06-29,The Legend of Tarzan,5.9,en,"Fantasy, Action, Adventure"
1169,2014-03-25,Avengers Confidential: Black Widow & Punisher,6.4,ja,"Animation, Science Fiction, Action"
1170,1994-09-14,Léon: The Professional,8.3,en,"Crime, Drama, Action"
1171,2019-11-15,Away,6.4,en,"Animation, Drama, Adventure, Fantasy"
1172,2009-09-17,Cloudy with a Chance of Meatballs,6.6,en,"Animation, Comedy, Family"
1173,2012-03-14,21 Jump Street,6.9,en,"Action, Comedy, Crime"
1174,2002-11-06,101 Dalmatians II: Patch's London Adventure,6,en,"Family, Adventure, Comedy, Animation"
1175,2015-10-23,Scouts Guide to the Zombie Apocalypse,6.5,en,"Comedy, Horror"
1176,2011-08-11,Barbie: Princess Charm School,7.4,en,"Family, Animation, Fantasy"
1177,2010-08-11,City Under Siege,4.9,cn,"Science Fiction, Action, Thriller"
1178,2014-03-05,300: Rise of an Empire,6.1,en,"Action, Drama, War"
1179,2009-09-19,Couples Retreat,5.5,en,"Comedy, Romance"
1180,2020-12-10,Songbird,6.2,en,"Thriller, Romance, Drama, Mystery"
1181,1984-05-23,Indiana Jones and the Temple of Doom,7.3,en,"Adventure, Action"
1182,2018-08-16,To All the Boys I've Loved Before,7.7,en,"Comedy, Romance"
1183,2007-10-28,Bee Movie,6,en,"Family, Animation, Adventure, Comedy"
1184,1971-06-29,Willy Wonka & the Chocolate Factory,7.5,en,"Family, Fantasy, Comedy"
1185,2016-08-17,War Dogs,6.9,en,"Comedy, Crime, Drama"
1186,2021-01-22,Twist,6.1,en,"Crime, Drama, Action"
1187,2006-09-19,Barbie in The 12 Dancing Princesses,7.7,en,"Animation, Family"
1188,2021-12-21,Grumpy Christmas,7.5,es,Comedy
1189,2015-09-01,Attack on Titan II: End of the World,5.8,ja,"Horror, Science Fiction, Action, Fantasy"
1190,2015-01-28,The SpongeBob Movie: Sponge Out of Water,6.1,en,"Family, Adventure, Comedy, Fantasy, Animation"
1191,2016-05-25,Alice Through the Looking Glass,6.5,en,"Adventure, Family, Fantasy"
1192,2015-10-26,Spectre,6.5,en,"Action, Adventure, Thriller"
1193,2012-01-19,Red Tails,6.5,en,"Drama, Action, Adventure, History, War"
1194,2013-09-26,Cloudy with a Chance of Meatballs 2,6.4,en,"Animation, Family, Comedy"
1195,2012-04-12,Lockout,5.9,en,"Action, Thriller, Science Fiction"
1196,2020-10-23,The Wolf of Snow Hollow,6.2,en,"Horror, Thriller"
1197,2004-04-02,Hellboy,6.7,en,"Fantasy, Action"
1198,2014-10-01,Gone Girl,7.9,en,"Mystery, Thriller, Drama"
1199,2017-01-19,A Dog's Purpose,7.6,en,"Adventure, Comedy, Fantasy, Family, Drama"
1200,2000-05-01,Gladiator,8.2,en,"Action, Drama, Adventure"
1201,1987-06-12,Predator,7.5,en,"Science Fiction, Action, Adventure, Thriller"
1202,2019-08-21,Angel Has Fallen,6.5,en,"Action, Thriller"
1203,2003-08-15,Freddy vs. Jason,6,en,Horror
1204,2009-08-19,9,6.9,en,"Action, Adventure, Animation, Science Fiction, Thriller"
1205,2010-11-04,Due Date,6.3,en,"Comedy, Drama"
1206,2009-03-17,Porno Unplugged,6.3,en,Documentary
1207,1940-11-13,Fantasia,7.4,en,"Animation, Family"
1208,2013-02-27,Jack the Giant Slayer,5.8,en,"Fantasy, Action, Adventure, Family"
1209,2021-04-16,Zog and the Flying Doctors,7,en,"Animation, Family"
1210,2011-03-02,Rango,6.8,en,"Animation, Comedy, Family, Western, Adventure"
1211,2014-04-16,Heaven Is for Real,6.6,en,Drama
1212,2016-11-10,Arrival,7.6,en,"Drama, Science Fiction, Mystery"
1213,2022-03-16,Ambulance,0,en,"Action, Crime, Thriller"
1214,2017-06-06,The Mummy,5.5,en,"Fantasy, Thriller, Action, Adventure, Horror"
1215,2010-06-17,I Spit on Your Grave,6.5,en,"Thriller, Crime, Horror"
1216,2008-07-02,Mamma Mia!,7,en,"Comedy, Romance"
1217,2013-09-18,Prisoners,8,en,"Drama, Thriller, Crime"
1218,2009-08-26,The Final Destination,5.6,en,"Horror, Mystery"
1219,1963-12-25,The Sword in the Stone,7.2,en,"Animation, Family"
1220,2002-11-04,Carrie,6.2,en,"Drama, Horror, TV Movie"
1221,2021-11-11,"tick, tick... BOOM!",7.9,en,Drama
1222,2021-01-12,Batman: Soul of the Dragon,7,en,"Animation, Action, Adventure, Crime, Fantasy"
1223,2014-07-30,Guardians of the Galaxy,7.9,en,"Action, Science Fiction, Adventure"
1224,2022-01-21,After Yang,7.4,en,"Drama, Science Fiction"
1225,2012-07-21,Wolf Children,8.3,ja,"Animation, Drama, Family, Fantasy"
1226,2018-06-16,Mirai,7.3,ja,"Animation, Family, Fantasy, Adventure, Drama"
1227,2016-10-13,Trolls,6.7,en,"Family, Animation, Fantasy, Adventure, Comedy, Music"
1228,2011-11-18,Happy Feet Two,6.1,en,"Animation, Comedy, Family"
1229,2009-01-09,Bride Wars,6.2,en,"Comedy, Romance"
1230,2020-11-12,Xico's Journey,6.7,es,"Animation, Family"
1231,2004-08-21,Naruto: Ninja Clash in the Land of Snow,7.3,ja,"Comedy, Action, Animation, Adventure"
1232,2004-09-20,Shark Tale,6,en,"Animation, Action, Comedy, Family"
1233,2013-10-01,The Book of Daniel,7.3,en,"Fantasy, Drama"
1234,2004-04-09,The Girl Next Door,6.7,en,"Comedy, Romance"
1235,2014-03-20,Captain America: The Winter Soldier,7.7,en,"Action, Adventure, Science Fiction"
1236,2011-08-12,Final Destination 5,6,en,"Horror, Mystery"
1237,2013-01-04,Death Race: Inferno,5.8,en,"Action, Science Fiction, Thriller"
1238,2019-06-29,Cencoroll Connect,7.1,ja,"Animation, Science Fiction"
1239,2019-08-09,Brian Banks,7.3,en,Drama
1240,2013-08-01,Snowpiercer,6.9,ko,"Action, Science Fiction, Drama"
1241,1980-05-23,The Shining,8.2,en,"Horror, Thriller"
1242,2021-09-21,Go! Go! Cory Carson: Chrissy Takes the Wheel,5.8,en,"Animation, Family"
1243,2013-06-27,Europa Report,6.2,en,"Science Fiction, Thriller"
1244,2016-12-14,Rogue One: A Star Wars Story,7.5,en,"Action, Adventure, Science Fiction"
1245,2006-11-14,Casino Royale,7.5,en,"Adventure, Action, Thriller"
1246,2017-09-30,Batman & Jesus,5.7,en,"Documentary, Comedy"
1247,2011-12-14,Alvin and the Chipmunks: Chipwrecked,5.7,en,"Comedy, Fantasy, Family, Music, Animation"
1248,2000-03-31,The Road to El Dorado,7.2,en,"Family, Adventure, Animation, Comedy, Action"
1249,2008-09-19,Igor,6,en,"Animation, Comedy, Family, Fantasy"
1250,2012-03-15,Red Dawn,5.6,en,"Action, Thriller"
1251,2013-01-03,"Batman: The Dark Knight Returns, Part 2",8,en,"Science Fiction, Action, Animation, Mystery"
1252,2010-09-09,13 Assassins,7.3,ja,"Adventure, Drama, Action"
1253,2001-05-21,Pearl Harbor,6.9,en,"Action, War, History, Romance, Drama"
1254,2022-01-14,Ray Donovan: The Movie,6.9,en,"Drama, TV Movie"
1255,2021-08-11,Breathless,5.9,es,"Crime, Drama, Thriller"
1256,2006-04-12,Scary Movie 4,5.5,en,Comedy
1257,1994-07-29,The Mask,6.9,en,"Romance, Comedy, Crime, Fantasy"
1258,2016-06-05,Never Back Down: No Surrender,7,en,"Drama, Action"
1259,2007-12-10,American Pie Presents: Beta House,5.6,en,Comedy
1260,2020-07-24,The Kissing Booth 2,7.8,en,"Comedy, Romance"
1261,2021-06-14,Hitman's Wife's Bodyguard,6.8,en,"Action, Comedy, Thriller"
1262,2005-04-30,House of Wax,5.9,en,"Horror, Drama"
1263,2019-12-10,6 Underground,6.3,en,"Action, Thriller, Comedy"
1264,2006-02-09,Final Destination 3,6.1,en,"Horror, Mystery"
1265,2018-06-07,Ocean's Eight,7,en,"Crime, Comedy, Action"
1266,2016-11-04,Nocturnal Animals,7.5,en,"Drama, Thriller"
1267,2021-04-02,Just Say Yes,6.6,nl,"Comedy, Romance"
1268,2011-08-03,Rise of the Planet of the Apes,7.3,en,"Thriller, Action, Drama, Science Fiction"
1269,2020-02-19,The Call of the Wild,7.6,en,"Adventure, Family, Drama"
1270,2014-10-23,Nightcrawler,7.7,en,"Crime, Drama, Thriller"
1271,2006-06-30,Monster House,6.6,en,"Animation, Comedy, Family, Fantasy"
1272,2018-01-03,Insidious: The Last Key,6.2,en,"Horror, Mystery, Thriller"
1273,2019-11-08,Pets United,6,en,"Animation, Family, Adventure, Comedy"
1274,2020-10-24,Slate,5.5,ko,"Action, Comedy"
1275,2007-12-13,Alvin and the Chipmunks,5.8,en,"Comedy, Family, Fantasy, Animation"
1276,2018-04-04,Just a Breath Away,6.3,fr,"Drama, Science Fiction, Thriller"
1277,2002-10-31,28 Days Later,7.2,en,"Horror, Thriller, Science Fiction"
1278,1939-08-15,The Wizard of Oz,7.6,en,"Adventure, Fantasy, Family"
1279,2013-05-30,After Earth,5.2,en,"Science Fiction, Action, Adventure"
1280,2007-02-08,Norbit,5.6,en,Comedy
1281,2015-07-11,The Boy and the Beast,8,ja,"Animation, Fantasy, Action, Adventure, Drama"
1282,2016-01-20,Dirty Grandpa,5.9,en,Comedy
1283,2015-11-22,The Lion Guard: Return of the Roar,6.5,en,"Family, TV Movie, Animation"
1284,2017-07-23,The Emoji Movie,5.6,en,"Animation, Family, Comedy"
1285,2016-07-23,One Piece Film: GOLD,7.2,ja,"Action, Animation, Adventure, Comedy"
1286,1985-11-21,Rocky IV,7,en,Drama
1287,2010-07-27,Batman: Under the Red Hood,7.8,en,"Science Fiction, Crime, Action, Animation, Mystery"
1288,2006-08-17,Brother Bear 2,6.7,en,"Adventure, Animation, Family"
1289,2000-02-03,Scream 3,5.9,en,"Horror, Mystery"
1290,2000-06-21,Chicken Run,6.7,en,"Animation, Comedy, Family"
1291,2020-10-01,The Doorman,5.9,en,"Action, Thriller"
1292,2021-01-07,Maya the Bee: The Golden Orb,6.6,en,"Adventure, Animation, Family"
1293,1975-06-20,Jaws,7.6,en,"Horror, Thriller, Adventure"
1294,2009-05-20,Night at the Museum: Battle of the Smithsonian,6.1,en,"Adventure, Fantasy, Action, Comedy, Family"
1295,2009-03-12,Dragonball Evolution,2.8,en,"Action, Adventure, Fantasy, Science Fiction, Thriller"
1296,2021-10-15,Sharkdog’s Fintastic Halloween,4,en,"Animation, Fantasy, Family"
1297,2013-03-14,The Call,6.8,en,"Crime, Thriller"
1298,2020-03-12,Mariposa,7.2,id,"Drama, Romance"
1299,1995-04-07,Bad Boys,6.8,en,"Action, Comedy, Crime, Thriller"
1300,2019-08-09,Sijjin 6,5.7,tr,Horror
1301,2016-02-08,The Mermaid,6.4,zh,"Comedy, Fantasy, Romance"
1302,1988-04-16,My Neighbor Totoro,8.1,ja,"Fantasy, Animation, Family"
1303,1997-07-02,Men in Black,7.2,en,"Action, Adventure, Comedy, Science Fiction"
1304,2010-09-03,El Infierno,7.7,es,"Drama, Crime, Comedy"
1305,2003-01-21,Ong Bak: Muay Thai Warrior,7.1,th,"Action, Thriller"
1306,1993-10-15,The Beverly Hillbillies,6.1,en,Comedy
1307,1979-05-25,Alien,8.1,en,"Horror, Science Fiction"
1308,2015-08-05,Fantastic Four,4.4,en,"Action, Adventure, Science Fiction"
1309,2019-04-17,The Curse of La Llorona,5.7,en,"Horror, Thriller"
1310,2018-01-18,Den of Thieves,6.7,en,"Action, Thriller, Crime"
1311,2004-04-02,Home on the Range,6,en,"Animation, Family"
1312,1994-09-10,Pulp Fiction,8.5,en,"Thriller, Crime"
1313,2010-08-06,The Other Guys,6.3,en,"Comedy, Action, Crime"
1314,2011-04-08,Soul Surfer,7.1,en,"Family, Drama"
1315,2015-07-10,B?hubali: The Beginning,7.5,te,"Action, Drama"
1316,2018-07-13,Pokémon the Movie: The Power of Us,7,ja,"Animation, Family, Adventure, Fantasy"
1317,1993-11-30,Schindler's List,8.6,en,"Drama, History, War"
1318,2014-03-07,Noah,5.6,en,"Drama, Adventure"
1319,2012-04-13,The Three Stooges,5.7,en,Comedy
1320,2004-11-10,The Polar Express,6.7,en,"Animation, Family, Adventure, Fantasy, Comedy"
1321,2015-07-18,Pokémon the Movie: Hoopa and the Clash of Ages,6.7,ja,"Family, Adventure, Animation, Action, Fantasy"
1322,2019-09-13,Tall Girl,6.4,en,"Comedy, Drama, Romance"
1323,2010-02-14,Shutter Island,8.2,en,"Drama, Thriller, Mystery"
1324,2004-11-11,Seed of Chucky,5.4,en,"Horror, Comedy"
1325,2017-10-07,House of the Witch,4.8,en,"Horror, TV Movie"
1326,2019-09-13,Freaks,6.8,en,"Science Fiction, Thriller, Drama, Mystery"
1327,2004-11-03,Mulan II,6.5,en,"Animation, Comedy, Family, Action"
1328,2021-10-08,Madres,6.2,en,Horror
1329,2021-04-08,Instructions for Su,7.9,es,"Comedy, Drama"
1330,2010-03-22,Kick-Ass,7.1,en,"Action, Crime"
1331,2007-11-20,Enchanted,6.8,en,"Comedy, Family, Fantasy, Romance"
1332,2012-07-26,The Watch,5.5,en,"Comedy, Action, Science Fiction"
1333,2001-08-24,Sex and Lucía,6.6,es,"Drama, Romance"
1334,2003-01-31,Final Destination 2,6.2,en,"Horror, Mystery"
1335,2010-08-06,Flipped,7.9,en,"Romance, Drama"
1336,2006-08-05,Naruto: Guardians of the Crescent Moon Kingdom,7.1,ja,"Adventure, Animation, Action"
1337,2011-09-02,Seeking Justice,5.9,en,"Action, Drama, Thriller"
1338,2010-04-23,The Losers,6.3,en,"Action, Adventure, Crime, Mystery, Thriller"
1339,2021-04-23,Together Together,6.9,en,Comedy
1340,2009-02-06,He's Just Not That Into You,6.5,en,"Comedy, Romance, Drama"
1341,2010-08-04,The Man from Nowhere,7.7,ko,"Action, Thriller, Crime"
1342,2007-06-06,Ocean's Thirteen,6.7,en,"Crime, Thriller"
1343,2007-09-14,Paranormal Activity,6,en,"Horror, Mystery"
1344,2020-04-24,Extraction,7.4,en,"Drama, Action, Thriller"
1345,2009-12-21,Alvin and the Chipmunks: The Squeakquel,5.6,en,"Comedy, Family, Animation, Fantasy, Music"
1346,2021-07-10,The Match,6.1,en,"Drama, History"
1347,2021-12-09,The Hating Game,7.6,en,"Comedy, Romance"
1348,2016-08-25,Mechanic: Resurrection,5.9,en,"Action, Crime, Thriller"
1349,2021-03-18,A Dog Named Palma,8.4,ru,"Family, Romance"
1350,1990-03-23,Pretty Woman,7.4,en,"Romance, Comedy"
1351,2016-05-25,Warcraft,6.3,en,"Action, Adventure, Fantasy"
1352,2019-08-08,Dora and the Lost City of Gold,6.8,en,"Adventure, Comedy, Family"
1353,2007-12-25,Aliens vs Predator: Requiem,5.1,en,"Fantasy, Action, Science Fiction, Thriller, Horror"
1354,2019-08-30,Tod@s Caen,7.7,es,Comedy
1355,2019-10-10,The Addams Family,6.7,en,"Family, Animation, Comedy"
1356,2005-06-10,The Adventures of Sharkboy and Lavagirl,5.1,en,"Adventure, Family, Science Fiction"
1357,2018-06-27,Sicario: Day of the Soldado,6.9,en,"Action, Crime, Drama, Thriller"
1358,2020-02-07,Wotakoi: Love is Hard for Otaku,7.1,ja,"Comedy, Romance"
1359,2015-10-21,The Last Witch Hunter,5.9,en,"Fantasy, Action, Adventure, Science Fiction"
1360,2009-04-10,Hannah Montana: The Movie,6.6,en,"Comedy, Drama, Family, Music, Romance"
1361,2011-07-30,Chunin Exam on Fire! and Naruto vs. Konohamaru!,7.7,ja,"Animation, Action"
1362,2009-05-20,Princess Protection Program,6.6,en,"Family, TV Movie, Comedy, Drama"
1363,2004-06-25,Spider-Man 2,7.2,en,"Action, Adventure, Fantasy"
1364,2022-01-05,How I Fell in Love with a Gangster,6.8,pl,"Crime, Drama"
1365,2010-05-26,Sex and the City 2,6.1,en,"Comedy, Drama, Romance"
1366,2016-01-14,The 5th Wave,5.9,en,"Science Fiction, Adventure, Action"
1367,2014-12-12,Seventh Son,5.5,en,"Adventure, Fantasy"
1368,2007-10-25,Saw IV,6.1,en,"Horror, Thriller, Crime"
1369,2016-01-28,The Ten Commandments: The Movie,7.3,pt,Drama
1370,2006-10-27,Saw III,6.4,en,"Horror, Thriller, Crime"
1371,2013-07-18,R.I.P.D.,5.8,en,"Fantasy, Action, Comedy, Crime"
1372,2017-03-18,Kuroko's Basketball the Movie: Last Game,7.8,ja,Animation
1373,2015-08-28,War Room,7.9,en,"Drama, Romance"
1374,2017-01-06,Kizumonogatari Part 3: Reiketsu,8.1,ja,"Animation, Fantasy, Mystery"
1375,2021-11-24,The Hand of God,7.7,it,Drama
1376,2009-04-28,Legally Blondes,5.6,en,Comedy
1377,2002-11-26,Treasure Planet,7.5,en,"Adventure, Animation, Family, Fantasy, Science Fiction"
1378,2020-06-13,LEGO Monkie Kid: A Hero Is Born,5.4,en,"Animation, TV Movie, Action, Comedy, Fantasy"
1379,2018-06-07,Hereditary,7.2,en,"Horror, Mystery, Thriller"
1380,2021-02-19,Flora & Ulysses,6.6,en,"Family, Adventure, Comedy, Fantasy"
1381,2021-05-07,Here Today,7.4,en,"Comedy, Drama"
1382,2020-09-10,The Babysitter: Killer Queen,6.5,en,"Comedy, Horror"
1383,2013-04-05,Evil Dead,6.5,en,Horror
1384,2010-09-01,Machete,6.3,en,"Action, Comedy, Thriller"
1385,2020-09-08,Sputnik,6.5,ru,"Science Fiction, Drama, Horror"
1386,2018-10-19,Hunter Killer,6.8,en,"Action, Thriller"
1387,2016-12-14,Ballerina,7.2,en,"Animation, Adventure, Comedy, Family"
1388,2007-06-13,Fantastic Four: Rise of the Silver Surfer,5.6,en,"Adventure, Fantasy, Action, Thriller"
1389,2020-10-08,Flashback,6.5,en,"Thriller, Horror"
1390,2011-07-21,Friends with Benefits,6.7,en,"Romance, Comedy"
1391,2021-03-12,War of Likes,7.8,es,Comedy
1392,2016-06-01,Teenage Mutant Ninja Turtles: Out of the Shadows,6,en,"Action, Adventure, Comedy, Family, Science Fiction"
1393,2015-12-25,The Revenant,7.5,en,"Western, Drama, Adventure"
1394,2014-05-16,The Fault in Our Stars,7.6,en,"Romance, Drama"
1395,2019-01-25,School-Live!,7.1,ja,"Horror, Action"
1396,2004-04-09,Ella Enchanted,6.4,en,"Family, Fantasy, Comedy"
1397,1988-05-06,Dead Heat,6,en,"Action, Horror, Science Fiction, Thriller"
1398,2014-11-12,Dumb and Dumber To,5.5,en,Comedy
1399,2014-02-13,Tinker Bell and the Pirate Fairy,6.8,en,"Animation, Family"
1400,2008-08-09,Tropic Thunder,6.6,en,"Action, Comedy, Adventure, War"
1401,2021-06-01,Super Monsters: Once Upon a Rhyme,6.4,en,Animation
1402,2014-06-12,The Last Survivors,6.3,en,"Horror, Thriller, Action"
1403,1984-06-08,Ghostbusters,7.5,en,"Comedy, Fantasy"
1404,2021-09-12,The Mad Women's Ball,7.2,fr,"Drama, Thriller, History"
1405,2016-04-07,The Jungle Book,6.9,en,"Family, Adventure, Drama, Fantasy"
1406,2019-05-05,Naruto to Boruto: The Live 2019,6.6,ja,Documentary
1407,2012-05-30,Snow White and the Huntsman,6,en,"Adventure, Fantasy, Drama"
1408,2021-11-18,The Princess Switch 3: Romancing the Star,7,en,"Romance, Comedy"
1409,2014-12-25,The Interview,6.2,en,"Action, Comedy"
1410,2008-12-25,Marley & Me,7.2,en,"Comedy, Family"
1411,2009-11-20,The Blind Side,7.7,en,Drama
1412,2014-11-14,The Imitation Game,8,en,"History, Drama, Thriller, War"
1413,2018-04-12,Truth or Dare,6,en,"Thriller, Horror"
1414,2016-05-11,The Angry Birds Movie,6.2,en,"Animation, Adventure, Comedy"
1415,1991-07-12,Boyz n the Hood,7.6,en,"Drama, Crime"
1416,2009-02-11,Friday the 13th,5.8,en,Horror
1417,1996-08-16,Bordello of Blood,5.9,en,"Horror, Comedy"
1418,2005-09-16,Pride & Prejudice,8.1,en,"Drama, Romance"
1419,2017-03-15,The Lost City of Z,6.4,en,"Adventure, Drama, History"
1420,2009-12-23,3 Idiots,8,hi,"Drama, Comedy"
1421,1984-04-05,The NeverEnding Story,7.2,en,"Drama, Family, Fantasy, Adventure"
1422,1982-10-22,First Blood,7.4,en,"Action, Adventure, Thriller, War"
1423,1984-10-26,The Terminator,7.6,en,"Action, Thriller, Science Fiction"
1424,2020-02-07,365 Days,7,pl,"Drama, Romance"
1425,2019-11-09,The Jack in the Box,5.6,en,Horror
1426,2015-02-25,Focus,6.9,en,"Romance, Comedy, Crime, Drama"
1427,2004-04-30,Mean Girls,7.2,en,Comedy
1428,2016-02-25,Gods of Egypt,5.6,en,"Action, Adventure, Fantasy"
1429,2019-09-19,Abominable,7.6,en,"Family, Animation, Adventure, Comedy"
1430,2021-02-12,To All the Boys: Always and Forever,7.7,en,"Romance, Comedy, Drama"
1431,2021-05-27,Endangered Species,6.1,en,"Thriller, Action"
1432,2017-02-24,Get Out,7.6,en,"Mystery, Thriller, Horror"
1433,2012-04-16,Safe,6.4,en,"Action, Crime, Thriller"
1434,2009-06-18,Year One,4.9,en,"Comedy, Adventure"
1435,2017-03-29,Ghost in the Shell,6,en,"Science Fiction, Action"
1436,2013-09-02,Riddick,6.3,en,"Science Fiction, Action, Thriller"
1437,2015-09-19,The Anthem of the Heart,7.6,ja,"Animation, Drama, Music, Romance"
1438,2010-09-14,Barbie: A Fashion Fairytale,7.2,en,"Family, Animation"
1439,2002-08-07,Spy Kids 2: The Island of Lost Dreams,5.6,en,"Action, Adventure, Family, Comedy"
1440,2015-07-09,Containment,5.9,en,"Thriller, Horror, Science Fiction"
1441,2021-03-18,Secret Magic Control Agency,7.2,ru,"Animation, Comedy, Fantasy"
1442,1998-09-18,Rush Hour,7,en,"Action, Comedy, Crime"
1443,2014-09-26,Outcast,5,en,Action
1444,2019-09-27,The Legend of the Galactic Heroes: Die Neue These Seiran 1,8,ja,"Animation, Science Fiction"
1445,2009-04-17,State of Play,6.8,en,"Thriller, Drama"
1446,2021-10-01,Puff: Wonders of the Reef,7.8,en,Documentary
1447,2015-01-15,Tracers,6,en,Action
1448,2015-03-15,The Corpse of Anna Fritz,7,es,"Drama, Thriller"
1449,2005-10-28,Saw II,6.6,en,Horror
1450,2013-07-03,The Lone Ranger,6.1,en,"Action, Adventure, Western"
1451,2021-10-08,Muppets Haunted Mansion,6.7,en,"Comedy, Family, TV Movie"
1452,2003-08-08,Jeepers Creepers 2,6.1,en,Horror
1453,1998-08-21,Blade,6.7,en,"Horror, Action"
1454,2013-08-07,Elysium,6.5,en,"Science Fiction, Action, Drama, Thriller"
1455,2021-04-15,Ride or Die,6.5,ja,"Drama, Romance, Thriller"
1456,2011-09-15,Johnny English Reborn,6.2,en,"Crime, Adventure, Action, Comedy, Thriller"
1457,2006-03-14,Barbie Fairytopia: Mermaidia,6.8,en,"Animation, Family, Adventure, Fantasy"
1458,2015-06-04,Insidious: Chapter 3,6.3,en,"Horror, Drama, Thriller"
1459,2013-02-21,3096 Days,7.5,de,Drama
1460,1989-07-29,Kiki's Delivery Service,7.8,ja,"Animation, Family, Fantasy, Adventure"
1461,2006-08-31,Little Man,5.9,en,"Comedy, Crime"
1462,1988-05-24,Rambo III,6.1,en,"Action, Adventure, Thriller, War"
1463,2015-05-07,Pitch Perfect 2,6.9,en,"Comedy, Music"
1464,2014-10-10,Whiplash,8.4,en,"Drama, Music"
1465,2006-10-10,Pan's Labyrinth,7.7,es,"Fantasy, Drama, War"
1466,2017-07-15,No Game No Life: Zero,7.9,ja,"Animation, Action, Drama"
1467,2012-02-28,Justice League: Doom,7.5,en,"Action, Animation, Science Fiction"
1468,2011-07-29,The Smurfs,5.8,en,"Animation, Family, Adventure, Comedy, Fantasy"
1469,2019-04-04,Missing Link,7,en,"Family, Animation, Comedy, Adventure, Fantasy"
1470,1996-08-02,Matilda,7.1,en,"Comedy, Family, Fantasy"
1471,1997-10-17,The Devil's Advocate,7.4,en,"Drama, Mystery, Thriller, Horror"
1472,2014-08-20,Sin City: A Dame to Kill For,6.4,en,"Crime, Action, Thriller"
1473,2021-07-14,The Medium,7.1,th,"Horror, Thriller"
1474,2001-07-01,Jeepers Creepers,6.4,en,"Horror, Thriller"
1475,2012-01-12,Contraband,6.3,en,"Thriller, Action, Drama, Crime"
1476,2010-12-02,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.4,en,"Adventure, Family, Fantasy"
1477,2019-10-05,Black Fox,7,ja,"Animation, Action, Drama, Science Fiction"
1478,2001-09-30,Barbie in the Nutcracker,6.8,en,"Animation, Family"
